OCC_TITLE,OCC_TITLE_URL,MEDIAN_PAY_YEAR,MEDIAN_PAY_HOUR,JOB_OUTLOOK,EDUCATION,EXPERIENCE,TRAINING,JOBS_2023,EMPLOYMENT_CHANGE,DUTIES,EDUCATION_DETAILS,QUALITIES,CERTIFICATIONS
Aerospace Engineering and Operations Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,"$77,830 per year",$37.42 per hour,8% (Faster than average),Associate's degree,None,None,"11,000",900,"Meet with aerospace engineers to discuss details and implications of test procedures, Build and maintain test facilities for aircraft systems, Make and install parts and systems to be tested in test equipment, Operate and calibrate computer systems so that they comply with test and manufacturing requirements, Make sure that test procedures are performed smoothly and safely, Record data from test parts and assemblies, Install instruments in aircraft and spacecraft, Monitor and ensure quality in producing systems that go into the aircraft","Aerospace engineering and operations technologists and technicians typically need an associate’s degree in engineering technology or a related field. Some employers consider candidates who have a high school diploma or have completed a certificate program. Some aerospace engineering and operations technologists and technicians must have security clearances to work on projects related to national defense. U.S. citizenship may be required for certain types and levels of clearance. High school students interested in becoming an aerospace engineering and operations technologist or technician should take classes in math, science, and, if available, drafting and information technology. Aerospace engineering and operations technologists and technicians typically need an associate’s degree in engineering technology or a related field. Some employers consider candidates who have a high school diploma or have completed a certificate program. Associate’s degree and certificate programs are available at community colleges or vocational–technical schools. Communication skills. Aerospace engineering and operations technologists and technicians must be able to follow instructions from aerospace engineers. They also need to clearly convey problems to their supervisors. Detail oriented. Aerospace engineering and operations technologists and technicians take precise measurements needed by aerospace engineers. In addition, they must keep accurate records of these measurements. Interpersonal skills. Aerospace engineering and operations technologists and technicians must be able to work well with others. They interact with people from other divisions, businesses, and governments. Math skills. Aerospace engineering and operations technologists and technicians use mathematics for measurement, analysis, design, and troubleshooting tasks. Mechanical skills. Aerospace engineering and operations technologists and technicians assist aerospace engineers by building what the engineers design. They need technical skills to guide processes from design to production. Problem-solving skills. Aerospace engineering and operations technologists and technicians help aerospace engineers troubleshoot design issues. They must be able to help evaluate system capabilities, formulate questions, and then find the answers. Although not required for the job, SpaceTEC, the National Science Foundation’s Center for Aerospace Technical Education, offers the Certified Aerospace Technician Core Certification. Recertification is required every 3 years.","Communication skills., Detail oriented., Interpersonal skills., Math skills., Mechanical skills., Problem-solving skills., ",Certified Aerospace Technician Core Certification
Aerospace Engineers,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,"$130,720 per year",$62.85 per hour,6% (Faster than average),Bachelor's degree,None,None,"68,900","4,100","Coordinate and direct the design, manufacture, and testing of aircraft and aerospace products, Assess project proposals to determine whether they are technically and financially feasible, Determine whether proposed projects will be safe and meet defined goals, Evaluate designs to ensure that products meet engineering principles, customer requirements, and environmental regulations, Develop criteria for design, quality, completion, and sustainment after delivery, Ensure that projects meet required standards, Inspect malfunctioning or damaged products to identify sources of problems and possible solutions","Aerospace engineers typically need a bachelor’s degree in aerospace engineering or a related field to enter the occupation. Aerospace engineers who work on projects that are related to national defense may need a security clearance. Some types and levels of clearance require U.S. citizenship. Aerospace engineers typically need a bachelor's degree in engineering or a related field. High school students interested in studying aerospace engineering should take classes in chemistry, physics, and math. Bachelor’s degree programs in engineering usually include classroom, laboratory, and field courses in subjects such as stability and control, structures, and mechanics. College students may have an opportunity to participate in cooperative education programs or internships. Through partnership with local businesses, these programs allow students to gain practical experience while they complete their education. Some colleges and universities offer a 5-year program that leads to both a bachelor’s degree and a master’s degree. A graduate degree may allow an engineer to work as an instructor at a university or to do research and development. Employers may prefer to hire graduates of aerospace engineering programs accredited by a professional association such as ABET. A degree from an accredited program is usually required to become licensed. Licensure is not required for entry-level aerospace engineer positions. Experienced engineers may obtain a Professional Engineering (PE) license, which allows them to oversee the work of other engineers, sign off on projects, and provide services directly to the public. State licensure generally requires a bachelor’s or higher degree from an ABET-accredited engineering program, a passing score on the Fundamentals of Engineering (FE) exam, several years of relevant work experience, and a passing score on the PE exam. Each state issues its own license. Most states recognize licensure from other states, as long as the licensing state’s requirements meet or exceed their own licensure requirements. Several states require continuing education for engineers to keep their licenses. Aerospace engineers who gain experience or who have additional education or credentials may advance into technical or supervisory positions. Those with leadership skills also may become engineering managers or project management specialists. Analytical skills. Aerospace engineers must be able to evaluate project design elements and propose improvements, if necessary. Business skills. Meeting federal standards in aerospace engineering requires business knowledge, including commercial law. Project management or systems engineering skills also may be useful. Communication skills. Aerospace engineers must be able to explain, both orally and in writing, the details of their designs. They may need to convey information to a variety of audiences, including nontechnical ones. Interpersonal skills. Aerospace engineers often work on teams and must be able to interact with other types of engineers and with nontechnical team members. Math skills. Aerospace engineers use calculus, trigonometry, and other math in their analysis, design, and troubleshooting work. Problem-solving skills. Aerospace engineers upgrade designs and troubleshoot problems to improve aircraft, such as for increased fuel efficiency or safety.","Analytical skills., Business skills., Communication skills., Interpersonal skills., Math skills., Problem-solving skills.",
Agricultural Engineers,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,"$88,750 per year",$42.67 per hour,8% (Faster than average),Bachelor's degree,None,None,"1,900",100,"Use computer software to design equipment, systems, or structures, Modify environmental factors that affect animal or crop production, such as airflow in a barn or runoff patterns on a field, Test equipment to ensure its safety and reliability, Oversee construction and production operations, Plan and work together with clients, contractors, consultants, and other engineers to ensure effective and desirable outcomes","Agricultural engineers typically need a bachelor’s degree in an engineering field, such as agricultural or biological engineering. High school students who are interested in studying agricultural engineering should take classes in math and science. College students take courses in calculus, physics, biology, and chemistry. They also may take courses in business, public policy, and economics. Entry-level jobs in agricultural engineering typically require a bachelor’s degree in engineering, including agricultural engineering or biological engineering. College students may gain practical experience through internships or from working on projects for engineering competitions, in which teams of students design equipment and attempt to solve real problems. Employers may prefer to hire candidates who have graduated from programs accredited by a professional association, such as ABET. Analytical skills. Agricultural engineers must analyze the needs of complex systems that involve workers, crops, animals, machinery and equipment, and the environment. Communication skills. Agricultural engineers must understand the needs of clients, workers, and others working on a project. Furthermore, they must communicate their thoughts about systems and about solutions to any problems they have been working on. Math skills. Agricultural engineers use calculus, trigonometry, and other advanced mathematical disciplines for analysis, design, and troubleshooting. Problem-solving skills. Agricultural engineers’ main role is to solve problems found in agricultural production. Goals may include designing safer equipment for food processing or reducing erosion. To solve these problems, agricultural engineers must creatively apply the principles of engineering. Licensure is not required for entry-level positions as an agricultural engineer. A Professional Engineering (PE) license, which allows for higher levels of leadership and independence, can be acquired later in one’s career. Licensed engineers are called professional engineers (PEs). A PE can oversee the work of other engineers, sign off on projects, and provide services directly to the public. State licensure generally requires The initial FE exam can be taken after one earns a bachelor’s degree. Engineers who pass this exam are commonly called engineers in training (EITs) or engineer interns (EIs). After meeting work experience requirements, EITs and EIs can take the second exam, called the Principles and Practice of Engineering (PE). Each state issues its own licenses. Most states recognize licensure from other states, as long as the licensing state’s requirements meet or exceed their own licensure requirements. Several states require engineers to take continuing education to keep their licenses. For licensing requirements, check with your state’s licensing board. New engineers usually work under the supervision of experienced engineers. As they gain knowledge and experience, beginning engineers move to more difficult projects and increase their independence in developing designs, solving problems, and making decisions. With experience, agricultural engineers may advance to supervise a team of engineers and technicians. Some advance to become engineering managers. Agricultural engineers who become sales engineers use their engineering background to discuss a product’s technical aspects with potential buyers and to help in product planning, installation, and use. Engineers who have a master’s degree or a Ph.D. are more likely to be involved in research and development activities, and may become postsecondary teachers.","Analytical skills., Communication skills., Math skills., Problem-solving skills.",
Architects,https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,"$93,310 per year",$44.86 per hour,8% (Faster than average),Bachelor's degree,None,Internship/residency,"127,300","9,900","Meet with clients to determine objectives and requirements for structures, Give preliminary estimates on cost and construction time, Prepare structure specifications, Direct workers who prepare drawings and documents, Prepare scaled drawings, either with computer software or by hand, Prepare contract documents for building contractors, Manage construction contracts, Visit worksites to ensure that construction adheres to architectural plans, Seek new work by marketing and giving presentations","There are typically three main steps to becoming a licensed architect: completing a bachelor’s degree in architecture, gaining relevant experience through a paid internship, and passing the Architect Registration Examination. Architects typically need a bachelor's degree in architecture. Most architects earn their degree through a 5-year Bachelor of Architecture degree program. Many earn a master’s degree in architecture, which can take 1 to 5 additional years. The time required depends on the extent of the student’s previous education and training in architecture. A typical bachelor’s degree program includes courses in architectural history and theory, building design with an emphasis on computer-aided design and drafting (CADD), structures, construction methods, professional practices, math, physical sciences, and liberal arts. About two-thirds of states require that architects hold a degree in architecture from one of more than 120 schools of architecture accredited by the National Architectural Accrediting Board (NAAB). State licensing requirements can be found at the National Council of Architectural Registration Boards (NCARB). All state architectural registration boards require architecture graduates to complete a lengthy paid internship—generally lasting 3 years—before they may sit for the Architect Registration Examination. Most new graduates complete their training period by working at architectural firms through the Architectural Experience Program (AXP), a program run by NCARB that guides students through the internship process. Some states allow a portion of the training to occur in the offices of employers in related careers, such as engineers and general contractors. Architecture students who complete internships while still in school can count some of that time toward the 3-year training period. Interns in architectural firms may help design part of a project. They may help prepare architectural documents and drawings, build models, and prepare construction drawings on CADD. Interns may also research building codes and write specifications for building materials, installation criteria, the quality of finishes, and other related details. Licensed architects take the documents that interns produce, make edits to them, finalize plans, and then sign and seal the documents. All states and the District of Columbia require architects to be licensed. Licensing requirements typically include completing a degree program in architecture, gaining relevant experience through a paid internship, and passing the Architect Registration Examination. Most states also require some form of continuing education to keep a license. Continuing education requirements vary by state but usually involve additional education through workshops, university classes, conferences, self-study courses, or other sources. After many years of work experience, some architects advance to become architectural and engineering managers. These managers typically coordinate the activities of employees and may work on larger construction projects. Analytical skills. Architects must understand the content of designs and the context in which they were created. For example, architects must understand the locations of mechanical systems and how those systems affect building operations. Communication skills. Architects share their ideas, both in oral presentations and in writing, with clients, other architects, and workers who help prepare drawings. Many also give presentations to explain their ideas and designs. Creativity. Architects design the overall look of houses, buildings, and other structures. They must ensure that the final product is both attractive and functional. Organizational skills. Architects often manage contracts. Therefore, they must keep records related to the details of a project, including total cost, materials used, and progress. Technical skills. Architects need to use CADD technology to create plans as part of building information modeling (BIM). Visualization skills. Architects must be able to envision how the parts of a structure relate to each other. They also must be able to visualize how the overall building will look once completed.","Analytical skills., Communication skills., Creativity., Organizational skills., Technical skills., Visualization skills.",
Bioengineers and Biomedical Engineers,https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,"$100,730 per year",$48.43 per hour,7% (Faster than average),Bachelor's degree,None,None,"19,700","1,500","Design equipment and devices, such as artificial internal organs, replacements for body parts, and machines for diagnosing medical problems, Install, maintain, or provide technical support for biomedical equipment, Collaborate with manufacturing staff on the safety and effectiveness of biomedical equipment, Train clinicians and others on the proper use of biomedical equipment, Work with scientists to research how engineering principles apply to biological systems, Develop statistical models or simulations using statistical or modeling software, Prepare procedures and write technical reports and research papers, Present research findings to a variety of audiences, including scientists, clinicians, managers, other engineers, and the public, Design or conduct followup experiments as needed","Bioengineers and biomedical engineers typically need a bachelor’s degree in bioengineering, biomedical engineering, or a related engineering field. Some positions require a graduate degree. In high school, students interested in becoming bioengineers or biomedical engineers should take classes in sciences such as chemistry, physics, and biology. They should also study math, including algebra, geometry, trigonometry, and calculus. If available, classes in drafting, mechanical drawing, and computer programming are also useful. At the bachelor’s degree level, prospective bioengineers should study bioengineering, biomedical, or other engineering fields. Students who pursue other engineering degrees, such as mechanical or electrical, may benefit from taking biological science courses. Bachelor’s degree programs in bioengineering and biomedical engineering focus on engineering and biological sciences. These programs typically include laboratory- and classroom-based courses in biological sciences and subjects such as fluid and solid mechanics, circuit design, and biomaterials. These programs also include substantial training in engineering design. As part of their study, students may have an opportunity to participate in co-ops or internships with hospitals and medical device and pharmaceutical manufacturing companies. Bioengineering and biomedical engineering programs are accredited by ABET. Analytical skills. Bioengineers and biomedical engineers must assess the needs of patients and customers prior to designing products. Communication skills. Because bioengineers and biomedical engineers sometimes work with patients and customers and frequently work on teams, they must be able to express themselves clearly in discussions. They also write reports and research papers. Creativity. Bioengineers and biomedical engineers must be creative to come up with innovations in healthcare equipment and devices. Math skills. Bioengineers and biomedical engineers use calculus and other advanced math and statistics for analysis, design, and troubleshooting in their work. Problem-solving skills. Bioengineers and biomedical engineers typically deal with intricate biological systems. They must be able to work independently and with others to incorporate ideas into the complex problem-solving process. Bioengineers and biomedical engineers may increase their responsibilities as they gain experience or advanced degrees. To lead a research team, a bioengineer or biomedical engineer typically needs a graduate degree. Those who are interested in basic research may become medical scientists. Some bioengineers attend medical or dental school to specialize in techniques such as using electric impulses in new ways to get muscles moving again. Others earn law degrees and work as patent attorneys. Still others pursue a master’s degree in business administration (MBA) and move into managerial positions. For more information, see the profiles on lawyers and architectural and engineering managers.","Analytical skills., Communication skills., Creativity., Math skills., Problem-solving skills.",
Cartographers and Photogrammetrists,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,"$76,210 per year",$36.64 per hour,6% (Faster than average),Bachelor's degree,None,None,"12,900",800,"Collect and analyze data from surveys, satellite images, and other sources, Create visualizations of data, such as annual precipitation patterns and elevation, Develop maps that integrate Geographic Information System (GIS) data for geospatial context, Prepare static or interactive maps in print, digital, or graphic format, Update and revise existing maps and charts","Cartographers and photogrammetrists typically need a bachelor’s degree in cartography, geography, geomatics, surveying, or a related field. Some cartographers and photogrammetrists may need to be licensed. Cartographers and photogrammetrists typically need a bachelor’s degree in cartography, geography, geomatics, surveying, or a related field. (Geomatics combines a variety of disciplines, such as engineering, natural resources, and mathematics.) Coursework in these programs may include Geographic Information System (GIS) technology, remote sensing, and other technical subjects. Aspiring cartographers and photogrammetrists may gain practical experience while in school by completing internships, such as in GIS, with private firms or government agencies. Licensing requirements for cartographers and photogrammetrists vary. They may be state- or employer-specific and depend on job duties. Certification for cartographers and photogrammetrists, such as from the American Society for Photogrammetry and Remote Sensing and the United States Geospatial Intelligence Foundation, is usually optional. Certification may demonstrate competence and may make candidates more competitive when looking for a job. Communication skills. Cartographers and photogrammetrists must be able to convey technical information clearly in nontechnical ways. Both written and oral communication are important. Computer skills. Cartographers and photogrammetrists must be able to work with GIS and other technology to collect and process data and with software to create maps. Critical-thinking skills. Cartographers and photogrammetrists interpret information from a variety of sources, as well as from existing maps, surveys, and other records. They must be able to determine the accuracy and relevance of the features they are mapping. Detail oriented. Cartographers and photogrammetrists must pay attention to detail when interpreting data and deciding what information to include in maps. Problem-solving skills. Cartographers and photogrammetrists must be able to reconcile differences between aerial photographs, land surveys, satellite images, and other sources they integrate into maps.","Communication skills., , Computer skills., Critical-thinking skills., Detail oriented., Problem-solving skills.",
Chemical Engineers,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,"$112,100 per year",$53.90 per hour,10% (Much faster than average),Bachelor's degree,None,None,"21,400","2,100","Conduct research to develop new and improved manufacturing processes, Design and plan the layout of equipment, Establish safety procedures for working with dangerous chemicals, Conduct tests and monitor production processes, Troubleshoot problems in manufacturing processes, Evaluate equipment and processes to ensure compliance with safety and environmental regulations, Estimate production costs for management","To enter the occupation, chemical engineers typically need a bachelor’s degree in chemical engineering or a related field. Some employers prefer to hire candidates who have gained practical experience in an internship or a cooperative education program. High school students interested in chemical engineering should take classes in sciences such as chemistry, physics, and biology. They also should take math courses, including algebra, calculus, and trigonometry. Bachelor's degree programs in chemical engineering or a related field typically include classroom, laboratory, and field studies. These programs usually take 4 years, but some colleges and universities have 5-year engineering programs that lead to both a bachelor’s and a master’s degree. Employers often prefer to hire graduates of ABET-accredited engineering programs. In chemical engineering, ABET-accredited programs include courses in chemistry, physics, and biology and the application of these sciences to process design and analysis. Some colleges and universities offer internships or cooperative education programs. In these programs, students gain practical experience while completing their education. Licensure is not required for entry-level chemical engineers. Experienced engineers may obtain a Professional Engineer (PE) license, which allows them to oversee the work of other engineers, sign off on projects, and provide services directly to the public. State licensure generally requires a bachelor’s or higher degree from an ABET-accredited engineering program, a passing score on the Fundamentals of Engineering (FE) exam, several years of relevant work experience, and a passing score on the PE exam. Each state issues its own license. Most states recognize licensure from other states if the licensing state’s requirements meet or exceed their own licensure requirements. Some states require engineers to take continuing education to maintain licensure. Chemical engineers may advance to supervise a team of engineers and technicians or to become engineering managers. Advancing into supervisory or management positions usually requires several years of experience, often working under the guidance of a senior-level engineer. Analytical skills. Chemical engineers must be able to evaluate designs and processes and to propose improvements, if necessary. Communication skills. Because chemical engineers frequently work on teams, they must be able to express themselves clearly in discussions and develop good relationships with colleagues. Creativity. Chemical engineers explore new ways of applying engineering to invent new materials and advance manufacturing techniques in chemical engineering. Math skills. Chemical engineers use calculus and other advanced math for analysis, design, and troubleshooting in their work. Problem-solving skills. Chemical engineers must be able to anticipate and identify problems, such as those related to manufacturing processes, and to devise solutions.","Analytical skills., Communication skills., Creativity., Math skills., Problem-solving skills.",
Civil Engineering Technologists and Technicians,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,"$60,700 per year",$29.18 per hour,2% (Slower than average),Associate's degree,None,None,"66,000","1,200","Read and review project drawings and plans to determine the sizes of structures, Confer with engineers to prepare plans, Develop plans and estimate costs for constructing systems and operating facilities, Use computer aided design (CAD) software to draft project drawings, Conduct field surveys to collect data on site conditions and inspect structures, Test appropriateness of construction materials and soil samples, Observe project sites to ensure that construction conforms to design specifications and applicable codes, Prepare reports and document project activities and data, Set up and help maintain project files and records","An associate’s degree, preferably in civil engineering technology, is typically required to enter the occupation. Prospective civil engineering technologists and technicians should take courses in science and math, such as chemistry, physics, geometry, and trigonometry. Employers may prefer to hire engineering technologists and technicians who have an associate’s degree from a program accredited by ABET, although a degree is not always required. Engineering technology programs also are available at technical or vocational schools that award a postgraduate certificate or diploma. Degree and nondegree programs may include coursework in subjects such as engineering, design, and sciences. Some employers require a bachelor’s degree in engineering technology for civil engineering technologists. Some civil engineering technologists and technicians enter the occupation after gaining work experience in a related occupation, particularly as drafters or CAD operators. Drafters or CAD operators working for an engineering firm may advance to civil engineering technologist or technician positions as their knowledge of design and construction increases. Certification is not required to enter this occupation, but it may help technologists and technicians develop in their careers. For example, the National Institute for Certification in Engineering Technologies (NICET) oversees certification for civil engineering technicians who pass an exam and provide supporting documentation. NICET requires technicians to update their skills and knowledge through a recertification process that encourages continuing professional development. Civil engineering technologists and technicians may advance in their careers by learning to design systems for a variety of projects, such as storm sewers, and to become skilled at reading graphical drawings of proposed projects. Technicians who obtain appropriate education or certification may advance to become technologists. Critical-thinking skills. Civil engineering technologists and technicians carry out project plans and designs that engineers have approved. They must be able to understand and interpret the reports and documents describing these projects. Decision-making skills. Civil engineering technologists and technicians must be able to discern which information is most important and which actions will help keep a project on schedule. Math skills. Civil engineering technologists and technicians use math for analysis, design, and troubleshooting. Observational skills. Civil engineering technologists and technicians sometimes visit jobsites to assess a project and report back to the engineer. Problem-solving skills. As assistants to civil engineers, these technologists and technicians must be able to help engineers identify problems and design projects to solve them. Writing skills. Civil engineering technologists and technicians must be able to prepare reports that are well organized and clearly convey information.","Critical-thinking skills., Decision-making skills., Math skills., Observational skills., Problem-solving skills., Writing skills.",National Institute for Certification in Engineering Technologies
Civil Engineers,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,"$95,890 per year",$46.10 per hour,6% (Faster than average),Bachelor's degree,None,None,"341,800","22,100","Analyze plans, survey reports, maps, and other data related to project design, Consider regulations, site selection, and other factors relevant to a project, Analyze the results of tests on soil and building materials to determine strength for foundations and other support, Prepare cost estimates for equipment, materials, and labor to determine a project’s economic feasibility, Use design software to plan transportation systems, hydraulic systems, and structures, Submit permit applications to local, state, and federal agencies, as needed, and confirm that projects comply with regulations, Perform or oversee surveying to establish building locations, site layouts, grades, and elevations to guide construction, Manage the construction or repair, maintenance, and replacement of buildings and infrastructure","Civil engineers typically need a bachelor’s degree in civil engineering or a related field. Although licensure requirements vary by state, civil engineers usually must be licensed if they provide services directly to the public. Civil engineers typically need a bachelor's degree in civil engineering or a related field. Civil engineering programs include coursework in math, physics, engineering mechanics, and construction systems. Courses may include a mix of academic learning and laboratory work. Employers usually prefer to hire graduates of civil engineering programs accredited by ABET. Some students attend schools that have cooperative-education programs (also known as co-ops); others participate in internships. Co-ops and internships provide students with an opportunity to gain practical experience while pursuing a degree. Licensure is not required for entry-level civil engineers. However, civil engineers typically must be licensed if they provide services directly to the public. Engineers who have a Professional Engineer (PE) license are called professional engineers (PEs). A PE may oversee the work of other engineers, approve design plans, sign off on projects, and provide services directly to the public. State licensure generally requires a bachelor’s or higher degree from an ABET-accredited engineering program, a passing score on the Fundamentals of Engineering (FE) exam, several years of relevant work experience, and a passing score on the PE exam. Each state issues its own licenses. Most states recognize licensure from other states, as long as the licensing state’s requirements meet or exceed their own licensure requirements. Some states require continuing education for engineers to keep their licenses. Certifications, such as in coastal engineering or geotechnical engineering from the American Society of Civil Engineers, also are available. Optional certification may demonstrate a level of competence and experience that make candidates attractive to prospective employers. With experience, some PEs advance to supervisory or administrative positions. Their responsibilities may focus on a specific project, such as a construction site, or encompass broad oversight, such as in working as a city engineer, public works director, or city manager. Graduate-level education, along with a PE license and experience, may be helpful for advancing into supervisory positions, such as engineering managers. PEs who have certification that demonstrates expertise in a civil engineering specialty also may be able to advance into senior technical or managerial positions. Communication skills. Civil engineers must be able to explain, both orally and in writing, the details of their projects. They may need to convey information to a variety of audiences, including nontechnical ones. Decision-making skills. Civil engineers must be able to balance a variety of objectives, such as the feasibility of plans against cost and safety. Interpersonal skills. Civil engineers often manage projects and the teams that work on them. They must be able to lead urban planners, surveyors, civil engineering technicians, and others. Math skills. Civil engineers use calculus, trigonometry, and other mathematics for analysis, design, and troubleshooting. Organizational skills. Civil engineers often oversee several projects at the same time and must be able to allocate resources effectively. Problem-solving skills. Civil engineers may encounter problems during each stage of their work. They must be able to evaluate issues that arise and troubleshoot to find solutions.","Communication skills., Decision-making skills., Interpersonal skills., Math skills., Organizational skills., Problem-solving skills.",
Computer Hardware Engineers,https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm,"$138,080 per year",$66.38 per hour,7% (Faster than average),Bachelor's degree,None,None,"84,100","6,100","Design new computer hardware, creating schematics of computer equipment to be built, Test the computer hardware they design, Analyze the test results and modify the design as needed, Update existing computer equipment so that it will work with new software, Oversee the manufacturing process for computer hardware","Computer hardware engineers typically need a bachelor’s degree from an accredited program. Entry-level computer hardware engineers typically need a bachelor’s degree in computer engineering or a related field, such as computer and information technology. Employers may prefer to hire candidates who have graduated from an engineering program accredited by a professional association, such as ABET. To prepare for a major in computer or electrical engineering, students should have a solid background in math and science. Because hardware engineers commonly work with computer software systems, a familiarity with computer programming is usually expected. This background may be obtained through computer science courses. Some large firms or specialized jobs may require a master’s degree in computer engineering. Some experienced engineers obtain a master’s degree in business administration (MBA). All engineers must continue their learning over the course of their careers in order to keep up with rapid advances in technology. Some students participate in internships while in school so that they can gain practical experience. Some computer hardware engineers can advance to become computer and information systems managers. Analytical skills. Computer hardware engineers use computer programming tools to analyze the digital circuits in hardware to determine the best design. Critical-thinking skills. These engineers use logic and reasoning to clarify goals, examine assumptions, and identify the strengths and weaknesses of alternative solutions. Problem-solving skills. Computer hardware engineers identify complex problems in computer hardware, develop and evaluate possible solutions, and figure out the best way to implement them. Communication skills. Engineers often work on teams and must be able to communicate with other types of engineers, software developers and programmers, as well as with nontechnical team members.","Analytical skills., Critical-thinking skills., Problem-solving skills., Communication skills.",
